split,seed,model,rmse,mae,r2,coverage_95,mean_interval_width,nlpd,crps,interval_score_95
13,55,BayesianRidge,4.2139305433000604,2.943360515375973,0.7529860659351296,0.9607843137254902,19.44276813579308,2.8772846443659272,2.298862418413428,24.459036094893513
13,55,ARDRegression,4.196926892352696,2.949757944973991,0.7549754982103732,0.9509803921568627,19.3665751812848,2.8731938590052164,2.288987975859015,24.399913916722273
13,55,Bayesian Gibbs,4.229976603776114,2.972111491747991,0.7511012949817661,0.9509803921568627,19.534725294922517,2.880556700614276,2.3069264127054154,24.56082743431884
14,56,Ordinary least squares,4.965976203533725,3.4474381526166087,0.7339061669342892,0.9607843137254902,18.447216415061565,3.0245460934214767,2.587388085486796,28.96820383333564
14,56,RidgeCV,4.987631990862404,3.4513579883103405,0.7315803257275402,0.9509803921568627,18.46323141694898,3.029306495568906,2.593111782877058,29.218771680282895
14,56,BayesianRidge,4.988411540376398,3.4513975478593544,0.7314964130494386,0.9607843137254902,18.688920399411288,3.0188568425645124,2.59186543673217,29.015945184133358
14,56,ARDRegression,5.0052764107950765,3.4504450628552927,0.7296778249928098,0.9607843137254902,18.600913398255415,3.02229659542816,2.593984077498365,29.199833030388323
14,56,Bayesian Gibbs,4.975572223028151,3.451915772215246,0.7328767988583702,0.9607843137254902,18.77615555350556,3.0113925844541773,2.599955921608501,29.047295410544617
15,57,Ordinary least squares,4.953491077200259,3.4240269510032033,0.6973796487206001,0.9509803921568627,18.459203606835498,3.0216803858486023,2.5275861239216284,29.660457824709273
15,57,RidgeCV,4.966653420259259,3.4065507550142056,0.6957692754066884,0.9509803921568627,18.47567449472136,3.024525121432008,2.5220103327647596,29.694383711666497
15,57,BayesianRidge,4.9669651102634695,3.406234911793254,0.6957310892707651,0.9607843137254902,18.703448795224425,3.0122971227660558,2.5217143752411593,29.468467203952603
15,57,ARDRegression,4.958338360208898,3.431106497387892,0.6967870952340187,0.9607843137254902,18.612821369476492,3.0103791930138346,2.5279648421540855,29.252465442742906
15,57,Bayesian Gibbs,4.956440900126019,3.4141639708082536,0.69701911824534,0.9607843137254902,18.798334232649474,3.003684071647175,2.524624124157729,29.41313061459179
16,58,Ordinary least squares,4.505059344906203,3.2655679950156906,0.7654953188682535,0.9607843137254902,18.969303638214843,2.929022993842159,2.4548483972061614,25.056555353178794
16,58,RidgeCV,4.503417078358587,3.2469846488076723,0.7656662595677028,0.9607843137254902,18.983023280476328,2.9288044215540925,2.44917001487313,25.179859142695314
16,58,BayesianRidge,4.5049986962041615,3.2443240184770774,0.7655016327956453,0.9607843137254902,19.253623326538346,2.9300835895681097,2.452187955920279,25.221556578394434
16,58,ARDRegression,4.4535289653579255,3.2328467062785715,0.7708293236941799,0.9705882352941176,19.189204977813656,2.9194334037314853,2.424853728503549,25.062043068000833
